細學類,細學類名稱,科系名稱,日間_進修別,等級別,上學年畢業生男,上學年畢業生女
01111,綜合教育細學類,人文社會學院教育經營碩士在職專班,N 職,M 碩士,3,11
01111,綜合教育細學類,人文社會學院教育經營碩士班,D 日,M 碩士,1,6
01111,綜合教育細學類,文教事業經營研究所,D 日,M 碩士,2,5
01111,綜合教育細學類,文教事業經營研究所,N 職,M 碩士,1,9
01111,綜合教育細學類,文教事業經營碩士在職學位學程,N 職,M 碩士, -,7
01111,綜合教育細學類,竹師教育學院學士班,D 日,B 學士,3,11
01111,綜合教育細學類,師範學院教學專業國際碩士學位學程,D 日,M 碩士,1,6
01111,綜合教育細學類,國際文教與比較教育學系,D 日,D 博士,1,3
01111,綜合教育細學類,國際文教與比較教育學系,D 日,M 碩士,1,1
01111,綜合教育細學類,國際文教與比較教育學系,D 日,B 學士,7,38
01111,綜合教育細學類,教育心理與輔導學系,D 日,M 碩士,8,19
01111,綜合教育細學類,教育心理與輔導學系,D 日,B 學士,12,35
01111,綜合教育細學類,教育心理與輔導學系社區諮商與教育碩士在職專班,N 職,M 碩士,1,9
01111,綜合教育細學類,教育研究所,D 日,D 博士,7,5
01111,綜合教育細學類,教育研究所,D 日,M 碩士,41,78
01111,綜合教育細學類,教育研究所,N 職,M 碩士,27,124
01111,綜合教育細學類,教育研究所中等學校教師在職進修教學碩士學位班,N 職,M 碩士, -,2
01111,綜合教育細學類,教育研究所教育創新與人力發展碩士在職專班,N 職,M 碩士,4,10
01111,綜合教育細學類,教育研究所教育學回流碩士在職專班,N 職,M 碩士,1,6
01111,綜合教育細學類,教育專業發展研究所,D 日,M 碩士, -,7
01111,綜合教育細學類,教育專業發展研究所,N 職,M 碩士,1,5
01111,綜合教育細學類,教育與人類發展研究全英語博士學位學程,D 日,D 博士,1, -
01111,綜合教育細學類,教育與潛能開發學系,D 日,B 學士,8,35
01111,綜合教育細學類,教育與潛能開發學系多元文化教育博士班,D 日,D 博士, -,2
01111,綜合教育細學類,教育與潛能開發學系多元文化教育碩士班,D 日,M 碩士,1, -
