學年度,學校體系別,設立別,學校代碼,學校名稱,領域代碼/名稱,學門代碼/名稱,學類代碼/名稱,細學類代碼/名稱,科系代碼?,科系名稱,日間/進修別,等級別,畢業生數總計,畢業生數男,畢業生數女
110,一般,公立,0001,國立政治大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131080,資訊管理學系,D 日,D 博士,5,2,3
110,一般,公立,0001,國立政治大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131080,資訊管理學系,D 日,M 碩士,45,23,22
110,一般,公立,0001,國立政治大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131080,資訊管理學系,D 日,B 學士,84,44,40
110,一般,公立,0001,國立政治大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131081,資訊科學系,D 日,M 碩士,37,25,12
110,一般,公立,0001,國立政治大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131081,資訊科學系,D 日,B 學士,49,30,19
110,一般,公立,0001,國立政治大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131082,社群網路與人智計算國際研究生博士學位學程,D 日,D 博士,1,1,-
110,一般,公立,0001,國立政治大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06134 電算機應用細學類,06134057,數位內容碩士學位學程,D 日,M 碩士,18,6,12
110,一般,公立,0002,國立清華大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131053,資訊工程學系,D 日,D 博士,4,3,1
110,一般,公立,0002,國立清華大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131053,資訊工程學系,D 日,M 碩士,119,102,17
110,一般,公立,0002,國立清華大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131053,資訊工程學系,D 日,B 學士,142,105,37
110,一般,公立,0002,國立清華大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131122,資訊安全研究所,D 日,M 碩士,7,4,3
110,一般,公立,0002,國立清華大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06134 電算機應用細學類,06134046,資訊系統與應用研究所,D 日,D 博士,2,1,1
110,一般,公立,0002,國立清華大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06134 電算機應用細學類,06134046,資訊系統與應用研究所,D 日,M 碩士,39,26,13
110,一般,公立,0002,國立清華大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06134 電算機應用細學類,06134048,社群網路與人智計算國際研究生博士學位學程,D 日,D 博士,3,3,-
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131062,資訊管理學系,D 日,D 博士,1,1,-
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131062,資訊管理學系,D 日,M 碩士,46,20,26
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131062,資訊管理學系,D 日,B 學士,53,33,20
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131063,資訊網路與多媒體研究所,D 日,D 博士,2,1,1
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131063,資訊網路與多媒體研究所,D 日,M 碩士,47,43,4
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131067,資訊工程學系,D 日,D 博士,9,8,1
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131067,資訊工程學系,D 日,M 碩士,122,102,20
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131067,資訊工程學系人工智慧碩士班,D 日,M 碩士,11,6,5
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131067,資訊工程學系,D 日,B 學士,140,122,18
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131081,生醫電子與資訊學研究所,D 日,D 博士,9,7,2
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131081,生醫電子與資訊學研究所,D 日,M 碩士,38,26,12
110,一般,公立,0003,國立臺灣大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131158,資料科學碩士學位學程,D 日,M 碩士,16,13,3
110,一般,公立,0004,國立臺灣師範大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131065,資訊工程學系,D 日,M 碩士,55,40,15
110,一般,公立,0004,國立臺灣師範大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131065,資訊工程學系,D 日,B 學士,44,34,10
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131030,資訊管理研究所,D 日,D 博士,1,-,1
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131030,資訊管理研究所,D 日,M 碩士,35,19,16
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131031,多媒體系統與智慧型運算工程博士學位學程,D 日,D 博士,1,1,-
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131036,資訊工程學系,D 日,D 博士,3,2,1
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131036,資訊工程學系,D 日,M 碩士,110,90,20
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131036,資訊工程學系,D 日,B 學士,121,92,29
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131037,電腦與通信工程研究所,D 日,D 博士,5,5,-
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131037,電腦與通信工程研究所,D 日,M 碩士,73,60,13
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131095,醫學資訊研究所,D 日,M 碩士,15,8,7
110,一般,公立,0005,國立成功大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131131,人工智慧科技碩士學位學程,D 日,M 碩士,11,10,1
110,一般,公立,0006,國立中興大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131043,資訊管理學系,D 日,M 碩士,52,31,21
110,一般,公立,0006,國立中興大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131043,資訊管理學系,D 日,B 學士,37,18,19
110,一般,公立,0006,國立中興大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131048,資訊科學與工程學系,D 日,D 博士,1,1,-
110,一般,公立,0006,國立中興大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131048,資訊科學與工程學系,D 日,M 碩士,66,53,13
110,一般,公立,0006,國立中興大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131048,資訊科學與工程學系,D 日,B 學士,43,36,7
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0612 資料庫、網路設計及管理學類,06121 資料庫、網路設計及管理細學類,06121048,網路與資訊系統博士學位學程,D 日,D 博士,2,2,-
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0612 資料庫、網路設計及管理學類,06121 資料庫、網路設計及管理細學類,06121060,網路工程研究所,D 日,M 碩士,42,31,11
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131022,資訊管理研究所,D 日,D 博士,5,2,3
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131022,資訊管理研究所,D 日,M 碩士,51,29,22
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131058,資訊工程學系,D 日,B 學士,196,154,42
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131061,資訊科學與工程研究所,D 日,D 博士,14,10,4
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131061,資訊科學與工程研究所,D 日,M 碩士,155,124,31
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131092,數據科學與工程研究所,D 日,M 碩士,22,15,7
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131100,資電亥客與安全碩士學位學程,D 日,M 碩士,14,10,4
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131104,智慧計算與科技研究所,D 日,M 碩士,13,11,2
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06132 軟體開發細學類,06132049,多媒體工程研究所,D 日,M 碩士,29,23,6
110,一般,公立,0007,國立陽明交通大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0619 其他資訊通訊科技學類,06199 其他資訊通訊科技細學類,06199105,智慧與綠能產學研究所,D 日,M 碩士,9,7,2
110,一般,公立,0008,國立中央大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131053,資訊管理學系,D 日,M 碩士,63,40,23
110,一般,公立,0008,國立中央大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131053,資訊管理學系,D 日,B 學士,94,52,42
110,一般,公立,0008,國立中央大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131059,資訊工程學系,D 日,D 博士,7,6,1
110,一般,公立,0008,國立中央大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131059,資訊工程學系,D 日,M 碩士,131,90,41
110,一般,公立,0008,國立中央大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131059,資訊工程學系AI碩士班,D 日,M 碩士,10,9,1
110,一般,公立,0008,國立中央大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131059,資訊工程學系軟體工程碩士班,D 日,M 碩士,8,8,-
110,一般,公立,0008,國立中央大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06131 資訊技術細學類,06131059,資訊工程學系,D 日,B 學士,101,81,20
110,一般,公立,0008,國立中央大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06132 軟體開發細學類,06132002,網路學習科技研究所,D 日,D 博士,3,1,2
110,一般,公立,0008,國立中央大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0613 軟體及應用的開發與分析學類,06132 軟體開發細學類,06132002,網路學習科技研究所,D 日,M 碩士,19,11,8
110,一般,公立,0009,國立中山大學,06 資訊通訊科技領域,061 資訊通訊科技學門,0611 電腦運用學類,06111 電腦運用細學類,06111055,資訊工程學系,D 日,D 博士,2,-,2
